"NAME","RELEVANT GENRES","DESCRIPTION","LINK"
"None","","no topics selected",""
"afterlife","fantasy/drama/romance","Humans have often speculated what fate, if any, awaits them after death.","https://tvtropes.org/pmwiki/pmwiki.php/Main/AfterlifeTropes"
"apocalypse","dystopian/drama/action","A catastrophic event that changes the world as we know it and reveals a new world.","https://tvtropes.org/pmwiki/pmwiki.php/Main/ApocalypticIndex"
"attraction","romance/comedy/drama/fantasy/espionage/action/superhero","Characters are drawn to someone for some reason.","https://tvtropes.org/pmwiki/pmwiki.php/Main/AttractionTropes"
"backstory","superhero/espionage/drama/mystery/fantasy/action","Backstory is what happens to a character before they arrive on the present scene.","https://tvtropes.org/pmwiki/pmwiki.php/Main/Backstory"
"betrayal","espionage/superhero/mystery/action/fantasy","How characters betray each other's trust.","https://tvtropes.org/pmwiki/pmwiki.php/Main/BetrayalTropes"
"combat","action/espionage/horror","All about combat, regardless of genre.","https://tvtropes.org/pmwiki/pmwiki.php/Main/CombatTropes"
"dating","romance/comedy/drama","Romantic connections and outings that can aim at casual fun or finding your One True Love.","https://tvtropes.org/pmwiki/pmwiki.php/Main/DatingTropes"
"death","horror/superhero/action/dystopian/mystery/espionage/fantasy","Character Death is a major event in stories.","https://tvtropes.org/pmwiki/pmwiki.php/Main/DeathTropes"
"disaster","dystopian/superhero/drama/horror","Tropes about natural and artificial disasters.","https://tvtropes.org/pmwiki/pmwiki.php/Main/DisasterTropes"
"disguise","espionage/action/mystery","Tropes about dressing up and pretending to be someone you're not.","https://tvtropes.org/pmwiki/pmwiki.php/Main/DisguiseTropes"
"distraction","action/espionage/superhero/comedy/horror","Tropes that distract or divert a character's attention, whether by accident or design.","https://tvtropes.org/pmwiki/pmwiki.php/Main/DistractionTropes"
"emotion","drama/romance/comedy","Tropes about emotions in general.","https://tvtropes.org/pmwiki/pmwiki.php/Main/EmotionTropes"
"family","drama/comedy/action/superhero","All the complex ties of blood and marriage.","https://tvtropes.org/pmwiki/pmwiki.php/Main/FamilyTropes"
"prophecy","fantasy/superhero","Describing some event that will happen in the future, often in rhyme and verse.","https://tvtropes.org/pmwiki/pmwiki.php/Main/TheProphecy"
"friendship","comedy/drama/superhero","Tropes about friendship and camaraderie.","https://tvtropes.org/pmwiki/pmwiki.php/Main/FriendshipTropes"
"hatred","superhero/drama/comedy/espionage","Tropes about one entity or group despising another.","https://tvtropes.org/pmwiki/pmwiki.php/Main/HatredTropes"
"haunted","horror/fantasy/mystery","Tropes about ghosts.","https://tvtropes.org/pmwiki/pmwiki.php/Main/HauntedIndex"
"identity","drama/comedy/romance","Changes in identity, revelations of a character's identity, identity clash, loss of identity, etc.","https://tvtropes.org/pmwiki/pmwiki.php/Main/IdentityIndex"
"immortality","fantasy/dystopian","The ability to live forever.","https://tvtropes.org/pmwiki/pmwiki.php/Main/Immortality"
"kissing","romance/comedy/drama/espionage/superhero","So many types of kisses, so little time.","https://tvtropes.org/pmwiki/pmwiki.php/Main/KissingTropes"
"marriage","romance/drama/comedy","Tropes having to do with that venerable institution.","https://tvtropes.org/pmwiki/pmwiki.php/Main/MarriageTropes"
"memory","drama/mystery/dystopian/superhero/action","Memory and amnesia in the movies works a bit differently than in Real Life.","https://tvtropes.org/pmwiki/pmwiki.php/Main/MemoryTropes"
"murder","horror/espionage/action/superhero","Tropes relating to that most heinous crime.","https://tvtropes.org/pmwiki/pmwiki.php/Main/MurderTropes"
"obsession","drama/mystery/romance","The varying ways a character cannot leave something alone.","https://tvtropes.org/pmwiki/pmwiki.php/Main/ObsessionTropes"
"revenge","comedy/horror/drama/superhero/espionage","Vengeance. Sometimes about justice.","https://tvtropes.org/pmwiki/pmwiki.php/Main/Revenge"
"rivalry","comedy/superhero/espionage/drama","Rivalries, rivals and other adversaries' relationships.","https://tvtropes.org/pmwiki/pmwiki.php/Main/RivalryTropes"
"school","comedy/drama/romance","Education in its many forms.","https://tvtropes.org/pmwiki/pmwiki.php/Main/SchoolTropes"
"technology","dystopian","Technology, those who use it, and people's attitudes towards it.","https://tvtropes.org/pmwiki/pmwiki.php/Main/TechnologicalTropes"